miRNA,SRR18856083,SRR18856084,SRR18856085,SRR18856086,SRR18856087,SRR18856088,SRR18856089,SRR18856090,SRR18856091,SRR18856092,SRR18856093,SRR18856094,SRR18856095,SRR18856096,SRR18856097,SRR18856098,SRR18856099,SRR18856100,SRR18856101,SRR18856102,SRR18856103,SRR18856104,SRR18856105,SRR18856106,SRR18856107,SRR18856108,SRR18856109,SRR18856110,SRR18856111,SRR18856112,SRR18856113,SRR18856114,SRR18856115,SRR18856116,SRR18856117,SRR18856118,SRR18856119,SRR18856120,SRR18856121,SRR18856122,SRR18856123,SRR18856124,SRR18856125,SRR18856126,SRR18856127,SRR18856128,SRR18856129,SRR18856130
rno-miR-223-5p,10,8,19,12,5,1,1,10,4,3,3,30,1,6,24,19,6,12,3,5,4,3,15,4,18,2,23,8,3,9,10,3,5,1,6,4,7,24,13,4,5,0,4,9,3,15,5,13
rno-miR-224-3p,1,0,2,7,0,0,0,0,0,0,2,1,0,1,7,6,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0
rno-miR-224-5p,181,68,111,319,13,8,15,4,42,5,70,346,1,59,534,338,3,33,16,7,77,5,12,23,59,14,81,156,64,5,10,11,5,35,6,85,1,159,168,35,2,7,4,2,55,1,8,7
rno-miR-23a-3p,3822,2445,1490,15011,770,1268,749,4008,2337,1429,2336,9545,285,1266,20921,9884,1685,3120,1296,1932,711,1017,2450,1114,1302,327,1140,6948,1891,2826,1451,908,1386,1289,1436,1191,1880,1035,2606,419,1250,316,1516,583,785,1527,679,3161
rno-miR-23a-5p,17,2,9,27,2,1,1,5,2,1,21,34,0,6,22,35,3,6,5,4,0,0,6,8,4,0,6,6,5,15,7,5,3,2,5,10,7,7,20,4,3,0,2,1,3,4,3,12
rno-miR-23b-3p,2487,1470,786,11123,187,172,506,257,382,221,423,6692,116,789,10929,5623,131,373,215,161,255,132,230,203,747,152,643,4711,1125,231,141,100,121,219,192,315,216,550,1730,104,92,64,116,54,218,110,64,225
rno-miR-23b-5p,8,4,4,13,0,0,1,1,0,0,0,12,0,3,13,9,0,1,0,0,0,0,0,0,2,0,1,4,1,0,0,0,0,1,0,0,0,1,8,1,0,0,0,0,0,0,0,0
rno-miR-24-1-5p,10,11,8,60,0,0,6,1,0,0,2,38,0,9,53,19,1,0,0,0,4,0,0,0,7,0,6,21,9,0,0,0,0,1,1,1,1,7,13,0,0,0,0,0,1,1,0,0
rno-miR-24-2-5p,514,220,222,998,65,84,42,295,176,66,153,1081,16,198,1287,491,141,276,76,170,32,80,128,84,176,23,221,367,176,284,218,93,134,126,107,98,193,272,639,41,111,28,137,76,79,153,77,308
rno-miR-24-3p,2706,1544,1532,10054,956,942,494,3042,3794,904,3462,10260,112,1046,12756,6010,8540,6528,1064,2878,3154,1814,2362,966,1096,198,800,9388,1508,7112,6704,1690,1654,2020,2070,3352,5186,1124,2006,1833,1708,728,1920,798,2192,2620,802,4464
rno-miR-25-3p,1876,993,1802,2959,1406,1944,132,3616,1950,1277,5325,5046,276,514,4528,2508,792,3054,8355,1743,3102,2804,4929,2583,1304,307,1403,1669,1142,1842,1682,3429,2353,3045,3764,6249,2165,2373,3045,10791,3125,2252,4075,5894,3031,3946,1846,7696
rno-miR-25-5p,21,7,16,86,8,12,2,19,18,16,44,50,0,10,121,53,16,18,63,14,11,22,20,22,10,1,13,38,4,24,19,17,20,13,39,29,16,25,34,26,8,3,9,21,4,6,7,32
rno-miR-26a-3p,0,1,0,0,0,0,0,0,0,0,2,0,0,2,3,1,0,0,0,0,0,1,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,1
rno-miR-26a-5p,21593,9687,15762,38608,202,321,1910,778,400,246,498,59995,853,7938,65276,23820,244,534,599,404,511,316,748,320,14899,3241,17487,13925,11097,554,427,302,331,237,362,1104,286,20030,23473,626,357,169,371,339,586,556,326,958
rno-miR-26b-3p,0,1,3,9,0,0,0,0,0,0,2,15,1,0,10,5,2,1,0,0,0,0,0,2,2,1,4,8,2,1,0,1,0,0,0,2,0,3,5,0,0,0,1,1,1,0,0,0
rno-miR-26b-5p,3132,1708,2123,5924,86,130,273,312,158,121,331,8686,90,1333,11089,4402,122,191,374,140,203,146,566,142,2212,453,2055,2495,1694,293,150,210,191,114,141,686,121,2503,3291,508,188,41,111,188,264,301,190,564
rno-miR-27a-3p,1584,1253,828,5198,218,457,262,1808,1225,400,1447,4506,202,325,7748,2773,1293,2069,566,794,504,518,1193,459,576,249,555,2269,1273,1857,967,602,622,513,478,887,1074,414,1142,530,522,166,708,369,485,982,287,1755
rno-miR-27a-5p,23,13,24,87,1,4,6,7,19,2,23,88,0,15,54,48,7,10,8,2,3,2,10,20,20,4,21,52,18,5,17,9,3,4,5,17,13,33,67,40,16,3,7,12,13,32,4,50
rno-miR-27b-3p,7294,4096,3532,16135,256,373,795,515,944,287,1385,19171,343,1599,25335,9146,234,845,604,292,879,289,971,461,2994,762,2956,6363,3968,400,335,409,372,704,370,1831,373,3575,6746,618,297,281,291,253,1159,458,396,976
rno-miR-27b-5p,18,7,16,37,0,1,5,0,1,0,1,66,1,8,55,14,0,0,0,0,3,1,1,0,9,2,12,25,9,0,0,0,0,1,0,0,0,23,32,1,0,1,0,0,0,0,0,1
rno-miR-28-3p,71,39,94,340,4,8,19,25,16,14,14,381,63,44,301,121,22,34,9,28,12,22,12,10,95,24,128,145,78,29,28,6,26,17,21,14,32,146,220,17,16,8,28,7,18,25,21,29
rno-miR-28-5p,108,57,65,328,1,3,17,12,18,7,21,464,7,55,361,245,12,11,4,8,8,3,13,10,32,13,45,205,84,11,8,7,7,5,4,14,1,43,92,14,6,5,5,2,18,15,4,30
rno-miR-290,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
rno-miR-291a-3p,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
rno-miR-291a-5p,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
rno-miR-291b,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
rno-miR-292-3p,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
rno-miR-292-5p,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
rno-miR-293-3p,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
rno-miR-293-5p,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
rno-miR-294,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
rno-miR-295-3p,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0
