Sample	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35	36	37	38	39	40	41	42	43	44	45	46	47	48	49	50	51	52	53	54	55	56	57	58	59	60	61	62
SRR18856109_1 - illumina_small_rna_3'_adapter	(1, 0.0036188362901398625)	(2, 0.7522684034683287)	(3, 0.8093381260811554)	(4, 0.8944819264976138)	(5, 1.0179494279990937)	(6, 1.189787958670642)	(7, 1.4711131450519495)	(8, 1.7877500818171683)	(9, 2.123335335306536)	(10, 2.7118794932010832)	(11, 3.5470214954380186)	(12, 4.590460118176359)	(13, 5.293053812320407)	(14, 5.9340823350440015)	(15, 6.5733576327326215)	(16, 7.144729176182033)	(17, 8.236471396358327)	(18, 9.726690198842691)	(19, 12.464575863395899)	(20, 20.252131741824577)	(21, 41.697647801365896)	(22, 47.041050640331726)	(23, 52.37773278333016)	(24, 58.412670512373275)	(25, 63.47751286597449)	(26, 66.93289463746903)	(27, 69.50534778590155)	(28, 72.4928657227423)	(29, 75.03205254999838)	(30, 77.61531725281326)	(31, 80.25924803728705)	(32, 82.78213886261548)	(33, 85.58675946471791)	(34, 89.58292125052597)	(35, 91.82104787113526)	(36, 93.3116038322802)	(37, 94.42795863467825)	(38, 95.25972905030946)	(39, 95.96924573561726)	(40, 96.58916812618905)	(41, 97.4509681398552)	(42, 97.64571098220162)	(43, 97.74708335281362)	(44, 97.82301148317444)	(45, 97.88736383285561)	(46, 97.94133169579118)	(47, 97.97650858271086)	(48, 97.9844880043444)	(49, 97.99543442219097)	(50, 98.00372852524104)	(51, 98.00716754357889)	(52, 98.00804415609637)	(53, 98.00876342790559)	(54, 98.00939279073866)	(55, 98.00970747215518)	(56, 98.01004463081576)	(57, 98.01013453979192)	(58, 98.01031435774422)	(59, 98.01040426672037)	(60, 98.01044922120845)	(61, 98.01049417569652)	(62, 98.0105391301846)	(63, 98.01056160742864)
SRR18856110_1 - illumina_small_rna_3'_adapter	(1, 6.708950948176038e-05)	(2, 0.20616606263744963)	(3, 0.23273350839222673)	(4, 0.4015978037578176)	(5, 0.9338859719861045)	(6, 1.018586477706827)	(7, 1.114021304944631)	(8, 1.3559796208905999)	(9, 1.5103525822081305)	(10, 1.9749809801240619)	(11, 2.4997886680451327)	(12, 3.077194531399903)	(13, 3.7613733490948955)	(14, 4.540852815008728)	(15, 5.3854091051198685)	(16, 6.209301826310627)	(17, 7.788052163435412)	(18, 10.187407835786349)	(19, 13.61168994449014)	(20, 18.403960696281764)	(21, 23.745191359407894)	(22, 30.403221369887277)	(23, 38.9296271299242)	(24, 50.27063908124942)	(25, 57.00132703049755)	(26, 61.02837483714021)	(27, 64.20348650762875)	(28, 67.58419397992414)	(29, 70.89509481760375)	(30, 74.0539708267977)	(31, 77.06229797671458)	(32, 80.65188863678142)	(33, 84.32359685645395)	(34, 88.70202596900732)	(35, 91.50539466745742)	(36, 94.22781987271779)	(37, 95.3726017177598)	(38, 96.17083270157379)	(39, 96.71982615766304)	(40, 97.10008949740565)	(41, 97.4947435369321)	(42, 97.64566138851133)	(43, 97.71298571127627)	(44, 97.7774251851335)	(45, 97.85209580918671)	(46, 97.86551371108305)	(47, 97.87614739833592)	(48, 97.88138038007548)	(49, 97.88624436951292)	(50, 97.88788806249522)	(51, 97.88872668136374)	(52, 97.88936403170382)	(53, 97.88969947925123)	(54, 97.89003492679863)	(55, 97.89013556106286)	(56, 97.89037037434605)	(57, 97.89057164287449)	(58, 97.89067227713872)	(59, 97.89070582189345)	(60, 97.89073936664819)	(61, 97.8910748141956)	(62, 97.89110835895035)	(63, 97.89110835895035)
SRR18856111_1 - illumina_small_rna_3'_adapter	(1, 0.001125217473849946)	(2, 1.3914848451618922)	(3, 1.5225419931161241)	(4, 1.737724491115283)	(5, 2.1919031805601703)	(6, 2.7105670605064214)	(7, 3.5644843721613833)	(8, 4.5219830669091134)	(9, 5.635825615023412)	(10, 7.293148203007235)	(11, 9.162277636568668)	(12, 11.077500069558898)	(13, 12.55096212231564)	(14, 13.816381693407289)	(15, 14.899700160230969)	(16, 15.781522865237408)	(17, 17.426038432518865)	(18, 19.603968457903772)	(19, 22.944616386767116)	(20, 29.952348062907433)	(21, 45.032676315440604)	(22, 51.398829446491206)	(23, 57.10574834736241)	(24, 62.551575877301374)	(25, 66.90942040252507)	(26, 70.02418603813791)	(27, 72.1065748707432)	(28, 74.62129271530115)	(29, 76.77528629624234)	(30, 79.07909746920177)	(31, 81.52437916637342)	(32, 83.82162316098548)	(33, 86.47191948189258)	(34, 90.72515969904728)	(35, 92.44612867905197)	(36, 93.61539330237827)	(37, 94.45325069190645)	(38, 95.20031326054472)	(39, 95.82734581247249)	(40, 96.3284767583262)	(41, 97.20461200046482)	(42, 97.43209005667822)	(43, 97.5399268076721)	(44, 97.63503837196171)	(45, 97.70228545989889)	(46, 97.75578443615557)	(47, 97.80596913548928)	(48, 97.81705764223157)	(49, 97.83137859189875)	(50, 97.84477890908734)	(51, 97.84878877499415)	(52, 97.85042545495611)	(53, 97.85189846692188)	(54, 97.85296230889716)	(55, 97.85376019037861)	(56, 97.85429211136625)	(57, 97.85488540785246)	(58, 97.85537641184105)	(59, 97.85554007983725)	(60, 97.85578558183154)	(61, 97.85590833282869)	(62, 97.85611291782394)	(63, 97.85619475182203)
SRR18856112_1 - illumina_small_rna_3'_adapter	(1, 0.0)	(2, 0.05228760022734972)	(3, 0.06004073585336227)	(4, 0.0885728419139898)	(5, 0.14773479457025376)	(6, 0.18665638584818878)	(7, 0.24024798694865213)	(8, 0.2849100168527939)	(9, 0.347686319755188)	(10, 0.4481227348300051)	(11, 0.6308529441363191)	(12, 0.9115391320740276)	(13, 1.2610538878360815)	(14, 1.7165470623836852)	(15, 2.1721961500791616)	(16, 2.549321706937143)	(17, 3.296585076843921)	(18, 4.872952045367891)	(19, 6.511514185970368)	(20, 11.234704565845666)	(21, 15.293180500651292)	(22, 18.578780787531485)	(23, 29.861038863478196)	(24, 35.114830033407934)	(25, 38.830608869190286)	(26, 42.59754139139728)	(27, 46.10275243401685)	(28, 50.08946579903362)	(29, 53.761716518714536)	(30, 58.924511105977004)	(31, 63.735480588104394)	(32, 76.50272635399938)	(33, 85.5348317059308)	(34, 89.06871659383633)	(35, 91.11493492043469)	(36, 92.98753686991598)	(37, 94.82086288005601)	(38, 95.70253755735123)	(39, 96.26675889165595)	(40, 96.60256746432778)	(41, 96.95749665849776)	(42, 97.18973637921479)	(43, 97.43469010844468)	(44, 97.56689028391784)	(45, 97.59944778397808)	(46, 97.62181423373649)	(47, 97.63227458856646)	(48, 97.6381992881856)	(49, 97.64245146494576)	(50, 97.67490974754827)	(51, 97.67733348830156)	(52, 97.67862331525214)	(53, 97.6794879245267)	(54, 97.67999818573792)	(55, 97.68031001203366)	(56, 97.68060766440686)	(57, 97.68077775147728)	(58, 97.68096201247022)	(59, 97.68120296915329)	(60, 97.68138723014623)	(61, 97.68202505666025)	(62, 97.68222349157573)	(63, 97.68228018726586)
SRR18856113_1 - illumina_small_rna_3'_adapter	(1, 1.076097643808882e-05)	(2, 0.058970150880726734)	(3, 0.06633065876437949)	(4, 0.11495951128810288)	(5, 0.21986827058303077)	(6, 0.2771919920687299)	(7, 0.348558787806135)	(8, 0.4035258554518927)	(9, 0.47385959745124123)	(10, 0.5695784828680412)	(11, 0.7527087798914368)	(12, 1.155675064568549)	(13, 1.7566971205886857)	(14, 2.299997298994914)	(15, 3.0857637985041597)	(16, 3.6292791964391498)	(17, 4.495150404553529)	(18, 6.108705016562757)	(19, 7.715028252405589)	(20, 10.45343849246468)	(21, 14.834985268761304)	(22, 17.722166008076975)	(23, 27.800487622886315)	(24, 31.86864248237648)	(25, 35.12148120105841)	(26, 39.3919316566082)	(27, 42.35762448001617)	(28, 45.4043366950265)	(29, 48.33446449130658)	(30, 53.64049751437586)	(31, 58.95263201108553)	(32, 72.4522339087622)	(33, 81.26757200196238)	(34, 90.14546365119715)	(35, 92.30999101781296)	(36, 94.31893618708689)	(37, 95.57577519114992)	(38, 96.37091450113674)	(39, 96.76709060968142)	(40, 97.05732490519311)	(41, 97.29852143107642)	(42, 97.50192540770918)	(43, 97.65347223888679)	(44, 97.7149819802069)	(45, 97.73510500614613)	(46, 97.74661925093488)	(47, 97.7510312512745)	(48, 97.75404432467717)	(49, 97.75633641265848)	(50, 97.78131263897129)	(51, 97.78209819025126)	(52, 97.78263623907317)	(53, 97.78290526348412)	(54, 97.78310972203644)	(55, 97.78329265863589)	(56, 97.78332494156521)	(57, 97.78336798547096)	(58, 97.78338950742383)	(59, 97.78347559523534)	(60, 97.78350787816466)	(61, 97.78371233671697)	(62, 97.7837446196463)	(63, 97.78377690257561)
SRR18856114_1 - illumina_small_rna_3'_adapter	(1, 3.7937759059568475e-05)	(2, 0.11811288987212319)	(3, 0.13010122173494684)	(4, 0.16396699465545497)	(5, 0.3024271693031934)	(6, 0.33708963516395246)	(7, 0.3982453027679768)	(8, 0.43426088203519386)	(9, 0.5823193097250031)	(10, 0.6604837393074007)	(11, 0.8317347837022928)	(12, 1.1874518585644933)	(13, 1.663456921484899)	(14, 2.1631098542191025)	(15, 2.8617716250601157)	(16, 3.529147390596671)	(17, 4.551443538055176)	(18, 6.276233170019712)	(19, 8.184553034394751)	(20, 11.633639107456046)	(21, 21.793168648893502)	(22, 24.48443533882023)	(23, 30.048387082496543)	(24, 33.524282505293264)	(25, 35.75581943093614)	(26, 37.89672305018571)	(27, 39.960448621588434)	(28, 41.58653685039965)	(29, 43.79067006808184)	(30, 46.67940279391362)	(31, 50.15692954034991)	(32, 68.3978087656204)	(33, 78.04852972847061)	(34, 86.76426197337807)	(35, 89.12139817334749)	(36, 92.25049189466101)	(37, 94.37749764817508)	(38, 95.52128314606202)	(39, 95.93192145012279)	(40, 96.31028736714354)	(41, 96.58921841766919)	(42, 96.91879637653933)	(43, 97.47257384553185)	(44, 97.62522274206788)	(45, 97.64797275158394)	(46, 97.67526264626746)	(47, 97.68912257424388)	(48, 97.6962422270274)	(49, 97.70021304580897)	(50, 97.70615662806162)	(51, 97.70857199872175)	(52, 97.70984923661008)	(53, 97.71083561834564)	(54, 97.71183464600087)	(55, 97.71217608583241)	(56, 97.71251752566394)	(57, 97.7126566307805)	(58, 97.71288425733485)	(59, 97.71299807061203)	(60, 97.71303600837109)	(61, 97.71317511348765)	(62, 97.71325098900576)	(63, 97.71327628084514)
SRR18856115_1 - illumina_small_rna_3'_adapter	(1, 1.3310171859608035e-05)	(2, 0.10295417933406814)	(3, 0.10882396512415529)	(4, 0.13046630456787794)	(5, 0.17288582228444876)	(6, 0.20308660223389938)	(7, 0.2408874903151862)	(8, 0.2721930145289843)	(9, 0.3305314977896463)	(10, 0.38361246316576314)	(11, 0.47257765187538325)	(12, 0.6293448560378466)	(13, 0.8624458958151622)	(14, 1.1052766712218511)	(15, 1.4503295665103297)	(16, 1.7043275761072298)	(17, 2.1586037416756523)	(18, 3.08503163361995)	(19, 4.082748806044309)	(20, 6.189056882483561)	(21, 9.85209603927885)	(22, 12.17476095929603)	(23, 22.187936698419858)	(24, 25.742085339231693)	(25, 28.44896168014832)	(26, 31.308678724528825)	(27, 34.35951652664144)	(28, 37.570595487771875)	(29, 41.409235741910976)	(30, 45.988653610896556)	(31, 50.681341042407404)	(32, 70.48173904316636)	(33, 81.70566125532756)	(34, 88.0482509702117)	(35, 90.20778642391753)	(36, 92.18752807614376)	(37, 94.10890462476563)	(38, 95.47364978621867)	(39, 96.06334364028675)	(40, 96.50151449790505)	(41, 96.94453025808023)	(42, 97.35347197829483)	(43, 97.73713768214803)	(44, 97.82317463304854)	(45, 97.857261983181)	(46, 97.88054147376346)	(47, 97.89133602314159)	(48, 97.89804434975883)	(49, 97.90396737623637)	(50, 97.92651480736654)	(51, 97.9306143402993)	(52, 97.93336954587424)	(53, 97.93580530732454)	(54, 97.93679026004216)	(55, 97.93745576863513)	(56, 97.93800148568138)	(57, 97.93830761963416)	(58, 97.93849396204018)	(59, 97.9386536841025)	(60, 97.93884002650854)	(61, 97.93919940114874)	(62, 97.93933250286734)	(63, 97.9394123638985)
SRR18856116_1 - illumina_small_rna_3'_adapter	(1, 3.301216894571677e-05)	(2, 0.1772258289850805)	(3, 0.185792486826494)	(4, 0.22070285548658947)	(5, 0.31501862216450227)	(6, 0.3489221196717534)	(7, 0.39452843107026114)	(8, 0.429158196294318)	(9, 0.5103021075628899)	(10, 0.5852562371541398)	(11, 0.7381686037106998)	(12, 1.0380016281601725)	(13, 1.4790442052749484)	(14, 1.9314264624225783)	(15, 2.5841925850707086)	(16, 3.03848954801719)	(17, 3.848872271296645)	(18, 5.318491502337592)	(19, 6.725717734071133)	(20, 9.944635291461138)	(21, 17.896656065358812)	(22, 20.60013812291487)	(23, 29.52377305322288)	(24, 33.613799218667985)	(25, 36.359223236869575)	(26, 39.136058333823016)	(27, 41.514040405574306)	(28, 43.645454587470034)	(29, 46.404298052348054)	(30, 50.034035546183034)	(31, 53.98742434436182)	(32, 67.71187044968516)	(33, 77.97236617361892)	(34, 89.25572744625124)	(35, 91.7694060384539)	(36, 93.72668102916097)	(37, 95.41896733974077)	(38, 96.3694867201948)	(39, 96.77355566809037)	(40, 97.1049813382209)	(41, 97.30265820586784)	(42, 97.45433261608895)	(43, 97.60060953668741)	(44, 97.63933281086074)	(45, 97.65682926040196)	(46, 97.66788833699879)	(47, 97.67285666842511)	(48, 97.6752995689271)	(49, 97.67732981731726)	(50, 97.68130778367522)	(51, 97.68228164265912)	(52, 97.6825952582641)	(53, 97.68289236778462)	(54, 97.6831399590517)	(55, 97.68327200772748)	(56, 97.68328851381196)	(57, 97.68337104423432)	(58, 97.6833875503188)	(59, 97.68347008074116)	(60, 97.68350309291012)	(61, 97.68358562333248)	(62, 97.68358562333248)	(63, 97.68361863550142)
SRR18856117_1 - illumina_small_rna_3'_adapter	(1, 1.032393834296247e-05)	(2, 0.1139143356762479)	(3, 0.11993319173019502)	(4, 0.14684769899029818)	(5, 0.2475267457108682)	(6, 0.35953115279366804)	(7, 0.457195609518093)	(8, 0.5269441369631475)	(9, 0.6121269522309308)	(10, 0.716347109803137)	(11, 0.9140608530092112)	(12, 1.3084456216487206)	(13, 1.8438037683613824)	(14, 2.596821507158722)	(15, 3.9726824461869876)	(16, 4.696968664575863)	(17, 5.853456237754519)	(18, 8.113366341029003)	(19, 9.892593875055155)	(20, 13.458275699947533)	(21, 19.11838522041505)	(22, 22.015220375820263)	(23, 32.275769737356946)	(24, 36.463726945871386)	(25, 39.93728826892951)	(26, 43.192147282130314)	(27, 46.62650861130021)	(28, 49.888883451614696)	(29, 53.736666891728525)	(30, 57.982365887395154)	(31, 63.08348576628297)	(32, 76.75542569417645)	(33, 85.18224745117448)	(34, 90.45486859381559)	(35, 92.33131665521742)	(36, 94.38476863950935)	(37, 95.7885248599403)	(38, 96.63600663457574)	(39, 96.9931839294272)	(40, 97.22448144406295)	(41, 97.42991749314955)	(42, 97.58263951305699)	(43, 97.73338966074093)	(44, 97.77636821606268)	(45, 97.79329947494514)	(46, 97.80375762448656)	(47, 97.80793881951547)	(48, 97.810664339238)	(49, 97.81246070450968)	(50, 97.8175607300511)	(51, 97.81842794087191)	(52, 97.81882025052894)	(53, 97.8191196447409)	(54, 97.81928482775439)	(55, 97.81935709532279)	(56, 97.8194809825829)	(57, 97.81950163045958)	(58, 97.8195326022746)	(59, 97.81958422196632)	(60, 97.81960486984302)	(61, 97.81967713741142)	(62, 97.81967713741142)	(63, 97.81967713741142)
SRR18856118_1 - illumina_small_rna_3'_adapter	(1, 0.00016841501501660452)	(2, 0.4335483672284591)	(3, 0.48349544882481205)	(4, 0.5580912708332381)	(5, 0.8032433844777654)	(6, 0.8559572841779627)	(7, 0.9487298981642522)	(8, 1.0085894063587255)	(9, 1.1432492405084305)	(10, 1.2682973891582594)	(11, 1.5077354219361518)	(12, 1.9786117742786484)	(13, 2.6263359220325095)	(14, 3.384720764296209)	(15, 4.210339286483324)	(16, 4.936556860878852)	(17, 6.210219471229784)	(18, 8.08470264765245)	(19, 10.564024291219395)	(20, 14.06546869056604)	(21, 24.815459247295557)	(22, 31.647779724708816)	(23, 36.84664297147603)	(24, 39.752319255201435)	(25, 42.12416805989993)	(26, 44.51690032646048)	(27, 47.388689103235755)	(28, 49.29525534001909)	(29, 51.06856921099249)	(30, 53.51861070123441)	(31, 56.813361758579966)	(32, 66.41669868556893)	(33, 75.46591412422147)	(34, 90.49757975593778)	(35, 91.86032187958855)	(36, 93.61696266407532)	(37, 95.25767377001101)	(38, 96.07811954530833)	(39, 96.53102360961977)	(40, 96.76646780061299)	(41, 96.93704815153694)	(42, 97.07980393605138)	(43, 97.34107577256178)	(44, 97.46001286209528)	(45, 97.53511392914876)	(46, 97.5711066237866)	(47, 97.59243518247406)	(48, 97.6029250319808)	(49, 97.60672639946262)	(50, 97.61037138157333)	(51, 97.61390809688868)	(52, 97.61693956715898)	(53, 97.6193695552328)	(54, 97.62084920143614)	(55, 97.621558950428)	(56, 97.62204013618519)	(57, 97.62225666977592)	(58, 97.62249726265452)	(59, 97.62264161838168)	(60, 97.62276191482098)	(61, 97.62339948594925)	(62, 97.62345963416891)	(63, 97.62354384167641)
SRR18856119_1 - illumina_small_rna_3'_adapter	(1, 0.0)	(2, 0.043991760744136285)	(3, 0.0548935890933386)	(4, 0.12200711172671505)	(5, 0.2753192217357743)	(6, 0.366707848300372)	(7, 0.4688335400653176)	(8, 0.5453660227082063)	(9, 0.6694601343204111)	(10, 0.8534456505412058)	(11, 1.3070660598622965)	(12, 2.322007056805665)	(13, 3.7665405038621853)	(14, 5.33220232585153)	(15, 7.932000051625787)	(16, 9.361155604789225)	(17, 11.709195239113892)	(18, 15.896623206724753)	(19, 19.68238607795329)	(20, 25.668835407381003)	(21, 33.71531838693582)	(22, 38.48974253286544)	(23, 52.716903133822555)	(24, 59.47771180234134)	(25, 63.69663699190821)	(26, 67.71455113987265)	(27, 70.38247842769822)	(28, 72.66008181588762)	(29, 75.08303376189144)	(30, 78.20968911665258)	(31, 80.88961665381971)	(32, 86.83553424862924)	(33, 91.73372297987336)	(34, 95.94795241969787)	(35, 96.74463716545873)	(36, 97.41091187890129)	(37, 97.72217692761214)	(38, 97.89932477315547)	(39, 97.98302445277352)	(40, 98.03649009457679)	(41, 98.06664175081715)	(42, 98.08803349964343)	(43, 98.1178830901109)	(44, 98.1348811549677)	(45, 98.13724276010129)	(46, 98.13908261526349)	(47, 98.13957690471005)	(48, 98.14007119415662)	(49, 98.14029087835509)	(50, 98.14193850984364)	(51, 98.14202089141807)	(52, 98.14202089141807)	(53, 98.14204835194288)	(54, 98.14207581246768)	(55, 98.14207581246768)	(56, 98.14207581246768)	(57, 98.14207581246768)	(58, 98.14207581246768)	(59, 98.14207581246768)	(60, 98.14207581246768)	(61, 98.14207581246768)	(62, 98.14210327299249)	(63, 98.14210327299249)
SRR18856120_1 - illumina_small_rna_3'_adapter	(1, 0.00394399811265261)	(2, 1.1211536098284434)	(3, 1.1558078859280312)	(4, 1.2105188353565963)	(5, 1.3261693653794402)	(6, 1.4404491155704475)	(7, 1.5904412876961447)	(8, 1.733459316817761)	(9, 1.8557713558479512)	(10, 2.0604744774022135)	(11, 2.311880308314838)	(12, 2.7173666020796894)	(13, 3.004989879075575)	(14, 3.30377178487799)	(15, 3.5673703416632656)	(16, 3.8072327634656875)	(17, 4.3074952557790995)	(18, 4.881130542249238)	(19, 6.388747869579678)	(20, 12.789928952721803)	(21, 37.38311396447083)	(22, 44.38214744444554)	(23, 48.96699715286624)	(24, 54.86789169492597)	(25, 59.04497047652876)	(26, 61.88763116499211)	(27, 63.63891061962375)	(28, 66.41704846091486)	(29, 68.09805741258813)	(30, 70.11673512950382)	(31, 72.55465503604069)	(32, 74.82594102231798)	(33, 77.81712690799927)	(34, 85.4741828047935)	(35, 87.59497159479652)	(36, 89.16184508889266)	(37, 90.22573857978071)	(38, 91.22941395314386)	(39, 92.45989326675351)	(40, 93.88401326818682)	(41, 95.90899176257516)	(42, 96.294469480549)	(43, 96.68023578375059)	(44, 96.92945317668607)	(45, 97.14545921966074)	(46, 97.39729792841499)	(47, 97.66005477828598)	(48, 97.68735013107782)	(49, 97.73845376515945)	(50, 97.80805090258637)	(51, 97.8270013325423)	(52, 97.83077698927208)	(53, 97.83537030414719)	(54, 97.83914596087698)	(55, 97.84046864317087)	(56, 97.84152678900595)	(57, 97.84284947129984)	(58, 97.8443164462076)	(59, 97.84498981173903)	(60, 97.84590366496025)	(61, 97.84672132310556)	(62, 97.84785161524759)	(63, 97.8483085418582)
SRR18856121_1 - illumina_small_rna_3'_adapter	(1, 0.005148466411234466)	(2, 0.8157332582396796)	(3, 0.8386311337150594)	(4, 0.8888926814976633)	(5, 0.9986887055162547)	(6, 1.0469306891264958)	(7, 1.13050082347018)	(8, 1.268314744809578)	(9, 1.4408594810004522)	(10, 1.8352149413615275)	(11, 2.3506020292353247)	(12, 2.989239420754862)	(13, 3.6605880629535132)	(14, 4.28949741296674)	(15, 4.785570640656956)	(16, 5.220687163820788)	(17, 6.069501452095085)	(18, 7.149769172348469)	(19, 9.150787487804392)	(20, 12.834045869706822)	(21, 19.474287534737925)	(22, 25.032896140356865)	(23, 32.569113183771805)	(24, 42.27678838096376)	(25, 48.6512155785198)	(26, 52.81319600296961)	(27, 55.90213362688125)	(28, 59.24445544300989)	(29, 62.15555764149038)	(30, 65.44207121950387)	(31, 68.99368815084722)	(32, 72.68784080145409)	(33, 76.58468942800823)	(34, 82.8102662126914)	(35, 86.29466863503062)	(36, 89.24331766037757)	(37, 90.8674739234443)	(38, 92.32545703306111)	(39, 93.82605010225821)	(40, 95.00985604205245)	(41, 96.71695665901508)	(42, 97.1646172357002)	(43, 97.4129667397692)	(44, 97.61230625695114)	(45, 97.69948885115244)	(46, 97.77700029297903)	(47, 97.86873401770958)	(48, 97.89399279214702)	(49, 97.91398932191)	(50, 97.93262051251419)	(51, 97.93964632026875)	(52, 97.94354322578442)	(53, 97.94658679432588)	(54, 97.94965880743314)	(55, 97.95193437269776)	(56, 97.95355571294883)	(57, 97.95497794123922)	(58, 97.9571112836748)	(59, 97.95753795216193)	(60, 97.95824906630713)	(61, 97.95901706958394)	(62, 97.95961440546591)	(63, 97.96009796308465)
SRR18856122_1 - illumina_small_rna_3'_adapter	(1, 0.00019029066010307663)	(2, 0.270098562950307)	(3, 0.29313641886678615)	(4, 0.34328435082595027)	(5, 0.7232440548757668)	(6, 0.7611880125003203)	(7, 0.8187572802035045)	(8, 0.8592765047614529)	(9, 0.9738061100554913)	(10, 1.073467671773476)	(11, 1.283117235031039)	(12, 1.786106193859498)	(13, 2.5207423162534357)	(14, 3.270766610027709)	(15, 4.322985158089675)	(16, 5.197751322583518)	(17, 6.539922092466545)	(18, 8.425499557383924)	(19, 10.814776399594148)	(20, 14.271215949706432)	(21, 24.660451689134074)	(22, 28.565875708737565)	(23, 33.24389249440355)	(24, 36.25907337582481)	(25, 38.50969175703993)	(26, 40.70309607978405)	(27, 42.80376542083794)	(28, 44.126691461962544)	(29, 45.517069199071685)	(30, 47.79312309852058)	(31, 50.77037270836129)	(32, 66.45905109913154)	(33, 77.98938381093329)	(34, 90.38321748015078)	(35, 91.76405531216675)	(36, 93.72052239099453)	(37, 95.1829441720187)	(38, 95.91093280735303)	(39, 96.3472692909694)	(40, 96.61609924951901)	(41, 96.80749359545068)	(42, 97.03104706293978)	(43, 97.44796121318161)	(44, 97.60629572843138)	(45, 97.70074332606254)	(46, 97.74615936360713)	(47, 97.77030090535222)	(48, 97.779130391981)	(49, 97.78345633298734)	(50, 97.78636143706491)	(51, 97.78897476213034)	(52, 97.79064931993923)	(53, 97.79269177302434)	(54, 97.79413798204114)	(55, 97.79477228424147)	(56, 97.79507674929764)	(57, 97.79531778413377)	(58, 97.79554613292589)	(59, 97.79571105149797)	(60, 97.79579985380603)	(61, 97.79615506303823)	(62, 97.79621849325825)	(63, 97.79624386534627)
SRR18856123_1 - illumina_small_rna_3'_adapter	(1, 0.0001226899589464061)	(2, 0.1286864306899117)	(3, 0.13512765353459802)	(4, 0.15787130467428806)	(5, 0.235119970075919)	(6, 0.27218767392260196)	(7, 0.32206114223431603)	(8, 0.36642889863831013)	(9, 0.46471889199924976)	(10, 0.534590823619228)	(11, 0.6386779175403853)	(12, 0.8579402104224814)	(13, 1.1845102086480779)	(14, 1.6426345153539583)	(15, 2.502982516220763)	(16, 3.0153664572706913)	(17, 3.7211097736201557)	(18, 4.768774669308386)	(19, 5.802882324533038)	(20, 7.715358068344749)	(21, 12.589538748632965)	(22, 14.560859664004346)	(23, 21.985411857156375)	(24, 24.7683421872031)	(25, 26.83569866793978)	(26, 29.00384494995093)	(27, 31.39258777814772)	(28, 33.53739229546932)	(29, 36.157697084932586)	(30, 40.15505863736544)	(31, 44.67592290837774)	(32, 67.38810407359803)	(33, 77.18566410771197)	(34, 86.52244666475781)	(35, 88.87712769310211)	(36, 92.3489161338983)	(37, 94.34230590563517)	(38, 95.77905133363218)	(39, 96.2311178236151)	(40, 96.65548705536584)	(41, 96.9495595507155)	(42, 97.25220500694655)	(43, 97.60392644675616)	(44, 97.70529902533563)	(45, 97.75485043250511)	(46, 97.78885088737813)	(47, 97.80021504482555)	(48, 97.80584344669221)	(49, 97.80932477427731)	(50, 97.82182381384497)	(51, 97.82484505408404)	(52, 97.82688477465152)	(53, 97.82909319391256)	(54, 97.83007471358412)	(55, 97.83053480093018)	(56, 97.83079551709294)	(57, 97.83104089701082)	(58, 97.83119425945951)	(59, 97.8313476219082)	(60, 97.83156232933635)	(61, 97.83200708043753)	(62, 97.8321144341516)	(63, 97.83220645162082)
SRR18856124_1 - illumina_small_rna_3'_adapter	(1, 0.00018724468761287876)	(2, 0.20142421713847222)	(3, 0.20979916134806642)	(4, 0.24517138506257208)	(5, 0.35324561430386)	(6, 0.42164099201554606)	(7, 0.49148326049514984)	(8, 0.5350602059759653)	(9, 0.6933500559861616)	(10, 0.7961644117299604)	(11, 1.0678053867232622)	(12, 1.8450070182713365)	(13, 2.727627408945462)	(14, 3.7387316998106788)	(15, 5.206253427854452)	(16, 6.290008657513465)	(17, 7.552940030973676)	(18, 9.643663146126094)	(19, 11.576641123086828)	(20, 16.750416108762607)	(21, 26.991662164283042)	(22, 30.13805380595254)	(23, 36.640823495327226)	(24, 41.63087739796612)	(25, 44.03991648206043)	(26, 47.26163155488329)	(27, 49.73024849412715)	(28, 51.81487764580999)	(29, 54.67229966775984)	(30, 58.340525231562104)	(31, 62.52731644658607)	(32, 75.14554870013036)	(33, 84.80291475294085)	(34, 90.90658090179085)	(35, 92.55230850570909)	(36, 93.9281143813112)	(37, 95.03833920090095)	(38, 95.8868640361852)	(39, 96.32450593786949)	(40, 96.65388636562487)	(41, 97.02005186337402)	(42, 97.41062725949016)	(43, 97.7438717367081)	(44, 97.81476938433606)	(45, 97.83630252341155)	(46, 97.85996344302808)	(47, 97.86867883212425)	(48, 97.87233861465486)	(49, 97.8749940847701)	(50, 97.87940284605116)	(51, 97.88112209272833)	(52, 97.88207533841073)	(53, 97.88275622818387)	(54, 97.88328391775805)	(55, 97.88353925142297)	(56, 97.88362436264461)	(57, 97.88374351835492)	(58, 97.88393076304253)	(59, 97.88399885201984)	(60, 97.88404991875282)	(61, 97.8842712079291)	(62, 97.88428823017342)	(63, 97.88430525241776)
