Sample	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15
SRR18856105_1	(1.0, 7.856494340473384)	(2.0, 1.5266319180328538)	(3.0, 0.8856773049164722)	(4.0, 0.6316769899275971)	(5.0, 0.4848167663440259)	(6.0, 0.4300605305799508)	(7.0, 0.36225811714431133)	(8.0, 0.3112739851088866)	(9.0, 0.2659621159486854)	('>10', 4.905166866293209)	('>50', 2.6759279652121073)	('>100', 8.639553357111055)	('>500', 4.570848491637361)	('>1k', 13.693073653152535)	('>5k', 6.004470350151775)	('>10k+', 46.75610724796579)
SRR18856106_1	(1.0, 14.815688377079752)	(2.0, 2.4080337831120415)	(3.0, 1.2690724960059347)	(4.0, 0.8795600636655415)	(5.0, 0.6740156160623977)	(6.0, 0.5698600420593551)	(7.0, 0.5096991699470438)	(8.0, 0.4276874977619766)	(9.0, 0.3819450376759591)	('>10', 7.4874045909839895)	('>50', 4.09049986543388)	('>100', 12.539889983635566)	('>500', 6.878795356405291)	('>1k', 15.114201497485247)	('>5k', 5.091688033499874)	('>10k+', 26.86195858918615)
SRR18856107_1	(1.0, 27.630024121978604)	(2.0, 3.122056943172998)	(3.0, 1.5175352776110644)	(4.0, 1.073864753583624)	(5.0, 0.8583529132143709)	(6.0, 0.6730397742114782)	(7.0, 0.5906447170879109)	(8.0, 0.5060643012992497)	(9.0, 0.4435855816605448)	('>10', 7.530253634146396)	('>50', 3.707700941775257)	('>100', 9.38136882406515)	('>500', 4.647357311822786)	('>1k', 10.324132872513488)	('>5k', 3.649874921672611)	('>10k+', 24.344143110184465)
SRR18856108_1	(1.0, 32.441515835150895)	(2.0, 4.194647144728714)	(3.0, 2.1173086157143404)	(4.0, 1.4514976996339075)	(5.0, 1.1408501898949746)	(6.0, 0.9106474890078813)	(7.0, 0.753503065794665)	(8.0, 0.7193484735873887)	(9.0, 0.6275409032441951)	('>10', 9.830368372851364)	('>50', 4.473896625649902)	('>100', 10.081366861030977)	('>500', 3.8023830475107228)	('>1k', 6.768676148962125)	('>5k', 1.6817213980427657)	('>10k+', 19.00472812919518)
SRR18856109_1	(1.0, 26.050568462179946)	(2.0, 3.2746651156886895)	(3.0, 1.6300505015157971)	(4.0, 1.1388116835577846)	(5.0, 0.8866522328926624)	(6.0, 0.7267952700470373)	(7.0, 0.6328950202388278)	(8.0, 0.5597808775145253)	(9.0, 0.49299644097846385)	('>10', 8.04567227088782)	('>50', 3.781260330847669)	('>100', 10.007108726578815)	('>500', 4.2676253397112545)	('>1k', 9.93987648608443)	('>5k', 2.927956189803003)	('>10k+', 25.637285051473306)
SRR18856110_1	(1.0, 35.00669341800184)	(2.0, 4.333516049489158)	(3.0, 2.2875017485592872)	(4.0, 1.6367576302055504)	(5.0, 1.2573419995818158)	(6.0, 1.0979373887900359)	(7.0, 0.960844225247502)	(8.0, 0.7570154703173224)	(9.0, 0.7274640368120662)	('>10', 11.293063889146707)	('>50', 5.073867622761415)	('>100', 12.296456099913062)	('>500', 5.957777010908361)	('>1k', 10.63748614502338)	('>5k', 2.7415292098021067)	('>10k+', 3.9347480554404153)
SRR18856111_1	(1.0, 31.983509176328557)	(2.0, 3.673853509626088)	(3.0, 1.8498168124241328)	(4.0, 1.2823807046765656)	(5.0, 0.9886541540177145)	(6.0, 0.82697662389872)	(7.0, 0.7074583505872216)	(8.0, 0.6258875450542424)	(9.0, 0.5639083863132023)	('>10', 8.904914575323325)	('>50', 4.114869627748311)	('>100', 10.894347071109616)	('>500', 4.676357984952705)	('>1k', 9.085487310133225)	('>5k', 3.734064201231082)	('>10k+', 16.087513966575248)
SRR18856112_1	(1.0, 13.212753771517875)	(2.0, 2.61599545094637)	(3.0, 1.473894549508107)	(4.0, 1.0014552715676954)	(5.0, 0.7858049170337125)	(6.0, 0.6415317150049314)	(7.0, 0.5281265539476344)	(8.0, 0.4575040565624631)	(9.0, 0.3997674399869738)	('>10', 5.822261511181015)	('>50', 2.8150859042778698)	('>100', 8.61360470773337)	('>500', 4.676602179413282)	('>1k', 15.161105576767373)	('>5k', 6.951437085018272)	('>10k+', 34.84306930953305)
SRR18856113_1	(1.0, 10.24058813077851)	(2.0, 1.9303463891292856)	(3.0, 1.0287708121994774)	(4.0, 0.7045046247948988)	(5.0, 0.5296236333928516)	(6.0, 0.42274959999143485)	(7.0, 0.3547096699500786)	(8.0, 0.3190202155034852)	(9.0, 0.26946228470204936)	('>10', 4.670800689946034)	('>50', 2.360738258716678)	('>100', 7.656380783346299)	('>500', 4.264539986747953)	('>1k', 14.092472156058461)	('>5k', 7.9664848009721085)	('>10k+', 43.1888079637704)
SRR18856114_1	(1.0, 6.537810246919297)	(2.0, 1.3027609393766333)	(3.0, 0.7554801954520355)	(4.0, 0.5602182690822458)	(5.0, 0.4421781441916031)	(6.0, 0.3813981825456167)	(7.0, 0.3162464816761657)	(8.0, 0.29205179904935263)	(9.0, 0.2535810485034747)	('>10', 4.648460113198648)	('>50', 2.591200844374499)	('>100', 8.070030834451725)	('>500', 4.592032340383395)	('>1k', 13.995805739421744)	('>5k', 8.138605244764625)	('>10k+', 47.12213957660894)
